epoch,train_loss,train_acc,validation_loss,validation_acc
1,0.0423318333675464,0.735,0.0246250818669796,0.86
2,0.021691562173267207,0.8579166666666667,0.027210908643901348,0.845
3,0.017067963478621096,0.8825,0.025151088908314703,0.865
4,0.014959820825606585,0.9008333333333334,0.027283466383814813,0.86
5,0.013053317533340304,0.915,0.036434807777404786,0.825
6,0.007393542540182049,0.955,0.02884549966081977,0.85
7,0.00475621712791811,0.9704166666666667,0.030365897975862026,0.84
8,0.003580448098994869,0.9795833333333334,0.03324368420988321,0.865
9,0.0024673356123579046,0.9875,0.032737790532410146,0.86
10,0.002448130008051521,0.985,0.03099421802908182,0.87
11,0.002061497266367951,0.99,0.034179707467556,0.85
12,0.0017775300022913143,0.9929166666666667,0.031562949884682896,0.86
13,0.002171618594741934,0.98875,0.029379666373133658,0.875
14,0.0016718304203095613,0.9925,0.03355933643877506,0.855
15,0.0010329121070268836,0.99625,0.03722898166626692,0.84
16,0.0013891189772099702,0.9933333333333333,0.03240435699000955,0.86
17,0.0015156070073984059,0.9920833333333333,0.03428946826606989,0.865
18,0.0014288453883151912,0.9933333333333333,0.040228794254362585,0.85
19,0.0022719650006426187,0.9870833333333333,0.028455725386738778,0.86
20,0.0016713131157848693,0.9895833333333334,0.03406580291688442,0.855
21,0.0015509157183745022,0.9920833333333333,0.0329538354743272,0.87
22,0.001750531500741393,0.9904166666666666,0.03507261626422405,0.855
23,0.0021414946898524554,0.9866666666666667,0.038234596252441404,0.855
24,0.0008849324156168829,0.99625,0.031670866031199695,0.86
25,0.0015723986894226982,0.9920833333333333,0.032708696126937865,0.865
26,0.001455112348194234,0.9920833333333333,0.0347231975197792,0.855
27,0.0015145367620304265,0.9929166666666667,0.035676082447171215,0.83
28,0.0012503046063648071,0.9929166666666667,0.03183780960738659,0.855
29,0.001439726597770156,0.9925,0.03497275149915367,0.865
30,0.0015894381883117604,0.9925,0.03270240208134055,0.86
31,0.001585354778587013,0.99125,0.03379780096933246,0.86
32,0.0012947977451282593,0.9954166666666666,0.03792037918698043,0.86
33,0.0019382645263976883,0.99125,0.034856782481074336,0.865
34,0.0015062462985830885,0.9908333333333333,0.033613319657742974,0.86
35,0.001323940213721168,0.9958333333333333,0.038300248272717,0.84
36,0.0014738547176117815,0.9941666666666666,0.03413851775228977,0.845
37,0.0019340447446302277,0.9883333333333333,0.03378666967153549,0.87
38,0.0015013502089762673,0.9925,0.03698677733540535,0.855
39,0.001687286838083916,0.9908333333333333,0.03401399049907923,0.85
40,0.0013271110332425452,0.9916666666666667,0.03112718015909195,0.86
41,0.002045762068325227,0.9870833333333333,0.031593197397887705,0.865
42,0.0014317751102741264,0.9929166666666667,0.03759688104968518,0.845
43,0.0020055718150009247,0.9883333333333333,0.0313187082670629,0.865
44,0.0011941925944120157,0.9945833333333334,0.031154373362660408,0.875
45,0.0016756040210627059,0.9920833333333333,0.032155739180743693,0.86
46,0.000996642667062891,0.9958333333333333,0.034039658606052396,0.85
47,0.0014502008175137841,0.9929166666666667,0.034364807233214376,0.86
48,0.0016555903364314872,0.9920833333333333,0.03233807764947414,0.865
49,0.0017815541338010615,0.9891666666666666,0.030943346600979568,0.865
50,0.0017145874844572973,0.9925,0.033411564296111466,0.845
